Column 1,Column 2
"40,637548640","-80,533840656"
"40,612781525","-80,562614441"
"40,673753449","-80,577148277"
"40,620101432","-80,579625964"
"40,673114686","-80,580996423"
"40,618877411","-80,598136902"
"40,613521805","-80,641300678"
"40,609745532","-80,642218664"
"40,609174222","-80,642645806"
"40,600821152","-80,652265549"
"35,186650205","-80,687641289"
"35,128353384","-80,700755199"
"35,325912476","-80,739707947"
"35,203224403","-80,742733836"
"35,247976854","-80,753180981"
"35,183264696","-80,759386318"
"35,273082733","-80,768058777"
"35,211432427","-80,781860501"
"35,212745667","-80,796592712"
"35,197288969","-80,799823670"
"35,154888153","-80,825660706"
"35,155044556","-80,826103210"
"35,250514984","-80,827095032"
"35,203109661","-80,837854804"
"35,222858429","-80,837959290"
"35,174718852","-80,839586838"
"35,226832038","-80,843057364"
"35,225526094","-80,845624655"
"35,217080893","-80,847995596"
"35,213916779","-80,858108521"
"35,241138971","-80,858292953"
"35,219204775","-80,860849632"
"35,204393801","-80,863978980"
"35,128070065","-80,874868110"
"35,152452873","-80,876582041"
"40,655370983","-81,465102524"
"40,451267242","-81,629302979"
"40,508869171","-81,638458252"
"40,510490417","-81,652778625"
"39,993697107","-81,734474525"
"40,274055481","-81,856567383"
"40,273845673","-81,863922119"
"40,275199637","-81,870168149"
"40,279224396","-81,876106262"
"39,964954376","-81,898056030"
"39,964058838","-81,90334"
"39,942664057","-81,980902478"
"40,503167957","-81,981878802"
"39,938615337","-82,005551979"
"40,335092929","-82,005925812"
"40,120866963","-82,009776123"
"39,970771814","-82,010077293"
"39,966751099","-82,010261536"
"39,977954865","-82,015602112"
"39,905567169","-82,019477844"
"39,897440080","-82,035279907"
"40,446117401","-82,260093689"
"40,078338061","-82,268453784"
"40,061016530","-82,364025190"
"40,065681458","-82,385871887"
"40,056587219","-82,399818420"
"39,912891707","-82,408675253"
"40,173530579","-82,418251038"
"40,776445766","-82,474351823"
"40,772251129","-82,482254028"
"40,770324707","-82,497360229"
"40,757663727","-82,514953613"
"40,755878448","-82,531608582"
"40,728202820","-82,539016724"
"40,718871556","-82,546622604"
"40,759251863","-82,554347366"
"40,758996496","-82,564669512"
"33,849318435","-84,283332825"
"33,893509878","-84,284300096"
"33,891316640","-84,285058624"
"33,883679286","-84,285129234"
"33,893274141","-84,285827316"
"33,862113899","-84,286953632"
"33,889654125","-84,288744621"
"33,877391815","-84,293479919"
"33,890674186","-84,299649708"
"33,890630213","-84,299853891"
"33,895275116","-84,306297302"
"33,864713307","-84,307158887"
"33,863660119","-84,307579994"
"33,864435980","-84,307820938"
"33,865142822","-84,308441162"
"33,867106664","-84,308976419"
"33,858654864","-84,309174567"
"33,858832773","-84,310344681"
"33,837535232","-84,311406165"
"33,848941621","-84,315561230"
"33,845840454","-84,326210022"
"33,841133118","-84,330070496"
"33,835594177","-84,336402893"
"33,870724216","-84,336974259"
"33,819664001","-84,360206604"
"33,845272724","-84,361059066"
"33,820011139","-84,365036011"
"33,851722717","-84,365959167"
"33,852221966","-84,366238032"
"33,846717834","-84,367088318"
"33,849509284","-84,376830608"
"33,838292273","-84,378041960"
"33,841833061","-84,379086275"
"33,888478647","-84,382527046"
"33,836338043","-84,382919312"
"34,229771780","-84,491306953"
"33,857193529","-84,599256894"
"44,832904228","-92,960217192"
"44,864701328","-93,160422581"
"44,882627882","-93,206081411"
"44,879679058","-93,206661344"
"44,815953240","-93,215247430"
"44,853747669","-93,242781402"
"44,855434971","-93,243376285"
"44,906173550","-93,288034536"
"44,746300647","-93,329915495"
"33,450328827","-111,718162537"
"33,365365299","-111,722353511"
"33,383956114","-111,739803078"
"33,415576359","-111,744584726"
"33,349344122","-111,757162388"
"33,349376765","-111,757219764"
"33,355588820","-111,790102650"
"33,399032593","-111,797241211"
"33,393969066","-111,805327987"
"33,394690454","-111,805505008"
"33,349235535","-111,821220398"
"33,422698975","-111,823272705"
"33,417041779","-111,831459045"
"33,362369835","-111,837672070"
"33,422100067","-111,838790894"
"33,388607025","-111,839508057"
"33,363811493","-111,840126038"
"33,389246627","-111,841040207"
"33,392872808","-111,842279434"
"33,393518598","-111,846661493"
"33,435958862","-111,849342346"
"33,390293559","-111,858982064"
"33,389714888","-111,860683411"
"33,393623352","-111,868347168"
"33,432729505","-111,871075787"
"33,393589020","-111,871795654"
"33,407138824","-111,872612000"
"33,378784874","-111,874564849"
"33,405654907","-111,875244141"
"33,427449394","-111,907005114"
"33,379143325","-111,909879451"
"33,510482269","-111,911536308"
"33,499746944","-111,919946298"
"33,425376892","-111,940124512"
"33,648448944","-112,249961853"
"33,435279846","-112,346969604"
"37,299523606","-121,931126086"
"37,288042784","-121,933905285"
"37,357062778","-121,934219743"
"37,288085938","-121,949081421"
"37,316802979","-121,981544495"
"37,339036666","-121,994385836"
"37,323744969","-122,009677521"
"37,265830799","-122,012507915"
"37,311526313","-122,023196518"
